CustomerID,InvoiceNo,InvoiceDate,StockCode,Quantity,UnitPrice
13047,536367,6/1/22 8:34,84879,4,16.9
13047,536367,6/1/22 8:34,22745,1,21
13047,536367,6/1/22 8:34,22748,1,21
13047,536367,6/1/22 8:34,22749,1,37.5
13047,536367,6/1/22 8:34,22310,1,16.5
13047,536367,6/1/22 8:34,84969,1,42.5
13047,536367,6/1/22 8:34,22623,1,49.5
13047,536367,6/1/22 8:34,22622,1,99.5
13047,536367,6/1/22 8:34,21754,1,59.5
13047,536367,6/1/22 8:34,21755,1,59.5
13047,536367,6/1/22 8:34,21777,1,79.5
13047,536367,6/1/22 8:34,48187,1,79.5
13047,536368,6/1/22 8:34,22960,1,42.5
13047,536368,6/1/22 8:34,22913,1,49.5
13047,536368,6/1/22 8:34,22912,1,49.5
13047,536368,6/1/22 8:34,22914,1,49.5
13047,536369,6/1/22 8:35,21756,1,59.5
12583,536370,6/1/22 8:45,22728,3,37.5
12583,536370,6/1/22 8:45,22727,3,37.5
12583,536370,6/1/22 8:45,22726,2,37.5
12583,536370,6/1/22 8:45,21724,2,8.5
12583,536370,6/1/22 8:45,21883,3,6.5
12583,536370,6/1/22 8:45,10002,5,8.5
12583,536370,6/1/22 8:45,21791,3,12.5
12583,536370,6/1/22 8:45,21035,2,29.5
12583,536370,6/1/22 8:45,22326,3,29.5
12583,536370,6/1/22 8:45,22629,3,19.5
12583,536370,6/1/22 8:45,22659,3,19.5
12583,536370,6/1/22 8:45,22631,3,19.5
12583,536370,6/1/22 8:45,22661,2,8.5
12583,536370,6/1/22 8:45,21731,3,16.5
12583,536370,6/1/22 8:45,22900,3,29.5
12583,536370,6/1/22 8:45,21913,2,37.5
12583,536370,6/1/22 8:45,22540,3,4.2
12583,536370,6/1/22 8:45,22544,3,4.2
12583,536370,6/1/22 8:45,22492,4,6.5
12583,536370,6/1/22 8:45,POST,1,180
17420,536385,6/1/22 9:56,22783,1,199.5
17420,536385,6/1/22 9:56,22961,2,14.5
17420,536385,6/1/22 9:56,22960,1,42.5
17420,536385,6/1/22 9:56,22663,1,19.5
17420,536385,6/1/22 9:56,85049A,2,12.5
17420,536385,6/1/22 9:56,22168,1,85
17420,536385,6/1/22 9:56,22662,1,16.5
12431,536389,6/1/22 10:03,22941,1,85
12431,536389,6/1/22 10:03,21622,1,49.5
12431,536389,6/1/22 10:03,21791,2,12.5
12431,536389,6/1/22 10:03,35004C,1,54.5
12431,536389,6/1/22 10:03,35004G,1,63.5
12431,536389,6/1/22 10:03,85014B,1,59.5
12431,536389,6/1/22 10:03,85014A,1,59.5
12431,536389,6/1/22 10:03,22193,1,85
12431,536389,6/1/22 10:03,22726,1,37.5
12431,536389,6/1/22 10:03,22727,1,37.5
12431,536389,6/1/22 10:03,22192,1,85
12431,536389,6/1/22 10:03,22191,1,85
12431,536389,6/1/22 10:03,22195,3,16.5
12431,536389,6/1/22 10:03,22196,3,8.5
16218,536404,6/1/22 11:29,22297,3,12.5
16218,536404,6/1/22 11:29,22771,2,12.5
16218,536404,6/1/22 11:29,22772,2,12.5
16218,536404,6/1/22 11:29,22773,2,12.5
16218,536404,6/1/22 11:29,22805,2,12.5
16218,536404,6/1/22 11:29,22469,2,16.5
16218,536404,6/1/22 11:29,22197,4,8.5
16218,536404,6/1/22 11:29,21125,2,12.5
16218,536404,6/1/22 11:29,21126,2,12.5
16218,536404,6/1/22 11:29,85049C,2,12.5
16218,536404,6/1/22 11:29,85049D,2,12.5
16218,536404,6/1/22 11:29,85049E,2,12.5
16218,536404,6/1/22 11:29,85049G,2,12.5
16218,536404,6/1/22 11:29,21061,2,8.5
16218,536404,6/1/22 11:29,21063,2,8.5
16218,536404,6/1/22 11:29,21062,2,8.5
16218,536404,6/1/22 11:29,84380,2,12.5
16218,536404,6/1/22 11:29,84378,2,12.5
16218,536404,6/1/22 11:29,22964,2,21
16218,536404,6/1/22 11:29,21213,3,5.5
16218,536404,6/1/22 11:29,22417,3,5.5
16218,536404,6/1/22 11:29,21212,3,5.5
16218,536404,6/1/22 11:29,84992,3,5.5
16218,536404,6/1/22 11:29,21975,3,5.5
16218,536404,6/1/22 11:29,22383,1,16.5
16218,536404,6/1/22 11:29,20728,1,16.5
16218,536404,6/1/22 11:29,20727,1,16.5
16218,536404,6/1/22 11:29,22296,3,16.5
14307,536408,6/1/22 11:41,22537,3,4.2
14307,536408,6/1/22 11:41,22533,3,4.2
14307,536408,6/1/22 11:41,20982,2,8.5
14307,536408,6/1/22 11:41,21832,2,16.5
14307,536408,6/1/22 11:41,21915,2,12.5
14307,536408,6/1/22 11:41,21914,2,12.5
14307,536408,6/1/22 11:41,21544,2,8.5
14307,536408,6/1/22 11:41,22813,2,19.5
14307,536408,6/1/22 11:41,22114,1,39.5
14307,536408,6/1/22 11:41,84029E,1,37.5
14307,536408,6/1/22 11:41,21479,1,37.5
14307,536408,6/1/22 11:41,22964,1,21
14307,536408,6/1/22 11:41,84375,2,21
14307,536408,6/1/22 11:41,22418,3,8.5
14307,536408,6/1/22 11:41,22178,2,12.5
14307,536408,6/1/22 11:41,84970L,2,9.5
14307,536408,6/1/22 11:41,21733,1,29.5
14307,536408,6/1/22 11:41,22465,2,16.5
14307,536408,6/1/22 11:41,84949,1,16.5
14307,536408,6/1/22 11:41,20685,1,79.5
14307,536408,6/1/22 11:41,48194,1,79.5
14307,536408,6/1/22 11:41,22488,2,16.5
14307,536408,6/1/22 11:41,22219,2,8.5
14307,536408,6/1/22 11:41,84879,1,16.9
14307,536408,6/1/22 11:41,21754,1,59.5
14307,536408,6/1/22 11:41,21755,1,59.5
14307,536408,6/1/22 11:41,22766,1,29.5
14307,536408,6/1/22 11:41,22610,4,8.5
14307,536408,6/1/22 11:41,22716,2,4.2
14307,536408,6/1/22 11:41,22706,3,4.2
14307,536408,6/1/22 11:41,22371,1,42.5
14307,536408,6/1/22 11:41,85014B,1,59.5
14307,536408,6/1/22 11:41,85014A,1,59.5
14307,536408,6/1/22 11:41,84997B,1,37.5
14307,536408,6/1/22 11:41,21212,3,5.5
14307,536408,6/1/22 11:41,21210,2,14.5
14307,536408,6/1/22 11:41,22914,1,49.5
14307,536408,6/1/22 11:41,22553,2,16.5
14307,536408,6/1/22 11:41,16237,3,2.1
14307,536408,6/1/22 11:41,22714,2,4.2
14307,536408,6/1/22 11:41,22812,2,19.5
14307,536408,6/1/22 11:41,84347,1,25.5
14307,536408,6/1/22 11:41,21587,2,25.5
14307,536408,6/1/22 11:41,22736,1,16.5
14307,536408,6/1/22 11:41,22492,4,6.5
14307,536408,6/1/22 11:41,22620,2,12.5
14307,536408,6/1/22 11:41,22619,1,37.5
14307,536408,6/1/22 11:41,21705,2,16.5
17908,536409,6/1/22 11:45,90199C,1,63.5
17908,536409,6/1/22 11:45,21479,1,37.5
